#OTUId,101.AVd_295,30.AVd_148,34.AVd_166,38.AVd_292,44.AVd_150,48.AVd_167,52.AVd_296,53.AVd_298,99.AVd_290,103.AVd_309,105.AVd_310,11.AVd_99,123.AVd_312,125.AVd_306,127.AVd_307,129.AVd_308,13.AVd_151,16.AVd_168,18.AVd_171,20.AVd_293,22.AVd_299,24.AVd_100,25.AVd_108,28.AVd_153,32.AVd_176,36.AVd_291,40.AVd_109,42.AVd_110,46.AVd_154,50.AVd_170,9.AVd_98,97.AVd_294,Mean
OTU_200,0.01680672268907563,0.056764427625354774,0.03185220576524924,0.07265933153414987,0.16117478510028654,0.062315002336812586,0.012559658377292138,0.01130837950921633,0.0,0.23862788963460105,0.1482108829134025,0.0,0.12631047113805735,0.06957731779439902,0.2828854314002829,0.26367831245880025,0.0,0.0,0.0,0.0,0.0,0.01732201628269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049126651079989855
OTU_54,0.0,0.11352885525070955,0.0,0.0,0.08058739255014327,0.0,0.012559658377292138,0.0,0.0,0.2535421327367636,0.16938386618674572,0.0,0.11367942402425163,0.17394329448599755,0.9193776520509194,0.4943968358602505,0.0,0.0,0.0,0.0,0.0,0.0,0.03616636528028933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07397392115010508
OTU_2,0.03361344537815126,0.0,0.0,0.0,0.053724928366762174,0.0,0.0,0.0,0.0,16.584638329604772,19.669701460935848,0.0,16.066691928760893,20.925378326665506,10.726072607260727,16.941331575477918,0.012017786323759164,0.0,0.0,0.0,0.0,0.01732201628269531,0.0,0.0,0.0,0.012503125781445362,0.0,0.0,0.0101667344448963,0.0,0.009823182711198428,0.0,3.1582182952498306
OTU_91,0.0,0.01892147587511826,0.0,0.051899522524392776,0.0,0.0,0.012559658377292138,0.0,0.0,0.0447427293064877,0.0,0.0,0.0,0.0,0.0,0.0,0.012017786323759164,0.0,0.0,0.0,0.0,0.12125411397886715,0.0,0.0,0.0,0.05001250312578145,0.0,0.0,0.0203334688897926,0.0,0.0,0.0,0.0103669143250466
OTU_8,0.0,2.384105960264901,0.0,0.010379904504878554,1.513252148997135,0.0,0.0,0.0,0.0,11.46905294556301,17.213635401228032,0.020391517128874388,16.0793229758747,7.983997216907286,8.015087223008015,10.01977587343441,0.0,0.024731049833065413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406669377795852,0.0,0.0,0.0,2.3366999735788716
OTU_85,0.0,1.4191106906338695,0.0,0.0,1.3341690544412608,0.0,0.38934940969605625,0.03392513852764899,0.0,1.1483967188665176,1.0586491636671609,0.0,0.4926108374384237,0.2957036006261959,1.2494106553512494,0.44495715227422544,0.0,0.012365524916532708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037509377344336084,0.0,0.0,0.0101667344448963,0.0,0.0,0.0,0.24769762681963667
OTU_70,0.0,0.0,0.0,0.03113971351463567,0.0,0.0,0.0,0.01130837950921633,0.0,1.0887397464578672,1.5668007622273978,0.0,1.187318428697739,1.2176030614019828,1.6737388024516735,1.1206328279499012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025006251562890724,0.0,0.0,0.0101667344448963,0.0,0.0,0.0,0.24788920963181874
OTU_130,8.504201680672269,0.0,0.0,0.0,0.0,0.0,0.012559658377292138,0.0,4.0395305744286585,0.10439970171513796,0.1482108829134025,0.0,0.0,0.034788658897199516,0.2828854314002829,0.03295978905735003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06251562890722681,0.0,0.0,0.0,0.0,0.0,0.2739309085375133,0.4217494660908228
OTU_100,0.0,0.0,0.0,0.010379904504878554,0.2238538681948424,0.0,0.0,0.0,0.0,0.41759880686055184,0.33876773237349145,0.0,0.16420361247947454,0.13915463558879804,0.3536067892503536,0.3625576796308504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037509377344336084,0.0,0.0,0.0,0.0,0.009823182711198428,0.0,0.06429548715433674
OTU_69,0.0,0.13245033112582782,0.0,0.0,0.2238538681948424,0.0,0.0,0.0,0.0,0.16405667412378822,0.1482108829134025,0.0,0.0,0.0,0.9193776520509194,0.26367831245880025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101667344448963,0.0,0.0,0.0,0.058181076728514906
OTU_62,0.0,0.0,0.0,0.0,0.026862464183381087,0.015578750584203147,0.0,0.0,0.0,0.014914243102162566,0.2329028160067753,0.0,0.12631047113805735,0.10436597669159854,0.11786892975011788,0.11535926170072512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023567591036156903
OTU_75,0.0,0.03784295175023652,0.0,0.0,0.6088825214899714,0.0,0.0,0.0,0.0,0.23862788963460105,0.2752487825534618,0.0,0.20209675382089176,0.34788658897199515,0.4007543611504008,0.2801582069874753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0747343142612198
OTU_124,0.0,0.0946073793755913,0.0,0.02075980900975711,0.04477077363896848,0.0,0.2888721426777192,0.20355083116589395,0.0,0.10439970171513796,0.10586491636671606,0.0,0.037893141341417205,0.15654896503739782,0.2828854314002829,0.09887936717205008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05001250312578145,0.0,0.0,0.0,0.0,0.0,0.0,0.046532655063334795
OTU_37,0.0,0.01892147587511826,0.0,0.280257421631721,0.2238538681948424,0.0,0.2009545340366742,0.2714011082211919,0.0,2.401193139448173,1.2703789964005932,0.0,0.8968043450802071,1.4263350147851799,0.3064592173503065,0.4614370468029005,1.8026679485638744,0.0,0.0,0.05202011444425178,0.7681399196407469,0.01732201628269531,0.0,0.2656599552572707,0.0,0.9252313078269568,0.0,0.0,1.8300122000813341,0.0,0.0,0.0,0.41934530093512623
OTU_191,0.0,0.056764427625354774,0.0,0.0,0.10744985673352436,0.0,0.0,0.0,0.0,0.05965697240865026,0.0,0.0,0.1768346595932803,0.19133762393459733,0.0942951438000943,0.14831905075807514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026083054214174263
OTU_282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342281879194631,0.021172983273343216,0.0,0.05052418845522294,0.034788658897199516,0.04714757190004715,0.08239947264337508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012503125781445362,0.0,0.0,0.0101667344448963,0.0,0.0,0.0,0.012279091353593521
OTU_109,0.0,0.7757805108798487,0.0,0.0,0.14326647564469913,0.0,0.0,0.0,0.0,2.5354213273676356,2.074952360787635,0.0,2.0841227737779464,2.3656288050095666,1.1315417256011315,1.7633487145682267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012503125781445362,0.0,0.0,0.0,0.0,0.0,0.0,0.40270518185681675
OTU_470,0.0,0.0946073793755913,0.0,0.0,0.2328080229226361,0.015578750584203147,0.0,0.0,0.0,0.1342281879194631,0.08469193309337286,0.0,0.05052418845522294,0.017394329448599758,0.07072135785007072,0.06591957811470006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023952303992620626
OTU_134,0.0,0.26490066225165565,0.0,0.0,0.06267908309455587,0.0,0.0,0.0,0.0,1.2080536912751678,1.3550709294939658,0.0,2.008336491095112,1.2002087319533832,1.178689297501179,1.5491100856954516,0.0,0.0,0.0,0.0,0.0,0.01732201628269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009823182711198428,0.0,0.2766935678548239
OTU_112,0.0,0.0946073793755913,0.0,0.02075980900975711,0.5372492836676218,0.0,0.012559658377292138,0.0,0.02470660901791229,0.3131991051454139,0.06351894982002965,0.0,0.05052418845522294,0.1217603061401983,0.3064592173503065,0.4614370468029005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625406351587897,0.0,0.0,0.0,0.0,0.0,0.0,0.06779131838503238
